2026-03-09 17:09:17 | WARNING  | validator | Postava ID=351: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=359: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=362: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=364: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=368: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=368 (Truth Tortoise): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=369: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=377: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=378: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=379: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=380: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=380 (Unknown Rick): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | INFO     | validator | Postava ID=381 (Woman Rick): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=385: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=387: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=395: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=406: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=411: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=412: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=412: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=413: pole 'status' obsahuje 'unknown' hodnotu
